"","NOME","PARTIDO","UF"
"591","ANSELMO DE JESUS","PT","RO"
"592","ANTHONY GAROTINHO","PR","RJ"
"593","ANTONIA LUCIA","PSC","AC"
"594","ANTONIO ANDRADE","PMDB","MG"
"595","ANTONIO BALHMANN","PDT","CE"
"596","ARMANDO VERGILIO","SD","GO"
"597","ARTUR BRUNO","PT","CE"
"598","ASSIS MELO","PCdoB","RS"
"599","BERINHO BANTIM","SD","RR"
"600","BERNARDO SANTANA DE VASCONCELLOS","PR","MG"
"601","BETINHO ROSADO","PP","RN"
"602","BETO ALBUQUERQUE","PSB","RS"
"603","BIFFI","PT","MS"
"604","BRUNO RODRIGUES","PSDB","PE"
"605","CAMILO COLA","PMDB","ES"
"606","CANDIDO VACCAREZZA","PT","SP"
"607","CARLOS ALBERTO LEREIA","PSDB","GO"
"608","CARLOS MAGNO","PP","RO"
